"Weight rule is missing","Weight rule is missing"
"Pricing rule not found","Pricing rule not found"
"Add pricing rule","Add pricing rule"
"Price rule for specified country already exists","Price rule for specified country and method already exists"
"Saved","Saved"
"Pricing rule","Pricing rule"
"Pricing rule detail","Pricing rule detail"
"Pricing rules","Pricing rules"
"A total of %1 record(s) have been deleted.","A total of %1 record(s) have been deleted."
"Detail","Detail"
"Price","Price"
"Free shipment threshold","Free shipment threshold"
"Country","Country"
"General","General"
"Any country?","Any country?"
"Apply pricing settings to any destination country","Apply pricing settings to any destination country"
"Packeta","Packeta"
"Export","Export"
"Order number","Order number"
"Full name","Full name"
"Recipient company","Recipient company"
"Recipient Email","Recipient Email"
"Recipient phone number","Recipient phone number"
"Recipient address","Recipient address"
"Cash on delivery","Cash on delivery"
"Currency","Currency"
"Total price","Total price"
"Pick up point or carrier","Pick up point or carrier"
"Pickup point address","Pickup point address"
"Exported","Exported"
"Export date","Export date"
"CSV - only not exported","CSV - only not exported"
"CSV - selected only","CSV - selected only"
"CSV - all records","CSV - all records"
"Order status","Order status"
"Yes","Yes"
"No","No"
"Orders","Orders"
"Add","Add"
"Weight to (includes)","Weight to (includes)"
"Price","Price"
"Add rule","Add rule"
"No changes can be made for this order.","No changes can be made for this order."
"No orders to export.","No orders to export."
"Error! No export data found.","Error! No export data found."
"Orders","Orders"
"There was an error during request.","There was an error during request."
"API key","API key"
"API password","API password"
"API password must be filled.","API password must be filled."
"The API password length must have %1 characters!","The API password length must have %1 characters!"
"Sender","Sender"
"Sender must be filled.","Sender must be filled."
"Price rules","Price rules"
"Global settings","Global settings"
"Default price","Default price"
"Max. weight","Max. weight"
"Free shipping","Free shipping"
"Payment methods","Payment methods"
"The payment methods selected above will be considered as cash on delivery (for Packeta).","The payment methods selected above will be considered as cash on delivery (for Packeta)."
"Some prices are not filled","Some prices are not filled"
"The weight is invalid","The weight is invalid. Enter unique weight values and weight must not be greater than max weight (%1)."
"The API key length must have %d characters!","The API key length must have %d characters!"
"Select pick-up point","Select pick-up point"
"You must select pick-up point","You must select pick-up point"
"Method Name","Method Name"
"Purchase Date","Purchase Date"
"Title","Title"
"Sort Order","Sort Order"
"Version","Version"
"Action","Action"
"Actions","Actions"
"Search","Search"
"Reset Filter","Reset Filter"
"records found","records found"
"per page", "per page"
"Export to:","Export to:"
"Any","Any"
"selected","selected"
"Submit","Submit"
"Select All","Select All"
"Unselect All","Unselect All"
"Select Visible", "Select Visible"
"Unselect Visible", "Unselect Visible"
"Mass Actions","Mass Actions"
"of %1","of %1"
"From","From"
"To","To"
"Delivery Method","Delivery Method"
"Pickup Point Delivery","Pickup Point Delivery"
"Best Address Delivery","Home Delivery"
"Address Delivery","Home Delivery"
"Methods are only available in predefined countries","Methods are only available in predefined countries"
"Allowed Methods","Allowed Methods"
"Enabled","Enabled"
"Disabled","Disabled"
"Pricing rule status","Pricing rule status"
"Select option","Select option"
"Choose Pickup Point","Choose Pickup Point"
"Edit","Edit"
"Available Countries","Available Countries"
"Available","Available"
"Unavailable","Unavailable"
"Country Code","Country Code"
"Use carrier?","Use carrier?"
"Carrier name","Carrier name"
"Packeta Carriers","Packeta Carriers"
"Weight","Weight"
"Address validation","Address validation"
"Required address validation","Required address validation"
"Optional address validation","Optional address validation"
"None address validation","None address validation"
"Check delivery address","Check delivery address"
"Change delivery address","Change delivery address"
"Please select address via Packeta widget","Please select address via Packeta widget"
"Please select address from specified country","Please select address from specified country"
"Address validation is out of order","Address validation is out of order"
"Pricing rule was not found. Please choose delivery method.","Pricing rule was not found. Please choose delivery method."
"Please select pickup point","Please select pickup point"
"Address was not validated","Address was not validated"
"Validated address","Validated address"
"Order has following validated address:","Order has following validated address:"
"Validated shipping address","Validated shipping address"
"Shipping address validation","Shipping address validation"
"Pickup point selection","Pickup point selection"
"GPS coordinates","GPS coordinates"
"Street","Street"
"House number","House number"
"City","City"
"County","County"
"Zip","Zip"
"Longitude","Longitude"
"Latitude","Latitude"
"Is address validated?","Is address validated?"
"Order detail","Order detail"
"Selected payment method is not allowed because the grand total exceeds the max COD (%1) set up for this carrier.","Selected payment method is not allowed because the grand total exceeds the max COD (%1) set up for this carrier."
"Max COD","Max COD"
"Internal pickup points","Internal pickup points"
"Allowed pickup point types","Allowed pickup point types"
"Check at least two types of pickup points or set corresponding separate carriers","Check at least two types of pickup points or set corresponding separate carriers"
"We've just turned on new options for setting up your Packeta pickup points. You can now choose a different price for a Z-Box or a pickup point in the pricing rules settings. More information can be found in the plugin documentation.","We've just turned on new options for setting up your Packeta pickup points. You can now choose a different price for a Z-Box or a pickup point in the pricing rules settings. More information can be found in the plugin documentation."
"New feature was enabled","New feature was enabled"
"Submit to Packeta","Submit to Packeta"
"The packet was successfully submitted.","The packet was successfully submitted."
"The packet could not be submitted to Packeta.","The packet could not be submitted to Packeta."
"Do you really want to submit this packet to Packeta?","Do you really want to submit this packet to Packeta?"
"This packet has already been submitted to Packeta.","This packet has already been submitted to Packeta."
"API password and Sender must be configured.","API password and Sender must be configured."
"Order %1 not found.","Order %1 not found."
"Page not found","Page not found"
"Box Manager","Box Manager"
"Name","Name"
"Add Box","Add Box"
"Depth [cm]","Depth [cm]"
"Width [cm]","Width [cm]"
"Height [cm]","Height [cm]"
"Delete","Delete"
"Are you sure you want to delete item '%1'?","Are you sure you want to delete item '%1'?"
"The item no longer exists.","The item no longer exists."
"Item '%1' was successfully deleted.","Item '%1' was deleted sucesfully."
"Delete was not sucessfull.","Delete was not sucessfull."
"Print label","Print label"
"Label Format","Label Format"
"Skip fields","Skip fields"
"Don't skip any field on a print sheet","Don't skip any field on a print sheet"
"Skip %1 fields on first sheet","Skip %1 fields on first sheet"
"Label print of packet %1","Label print of packet %1"
"Print","Print"
"Cancel","Cancel"
"The label could not be generated.","The label could not be generated."
"No submitted packet was found for this order.","No submitted packet was found for this order."
"Invalid label offset.","Invalid label offset."
"API password is not configured.","API password is not configured."
"1/4 A4, print on A4, 4pcs/page","1/4 A4, print on A4, 4pcs/page"
"1/4 A4, direct print, 1pc/page","1/4 A4, direct print, 1pc/page"
"1/8 A4, direct print, 1pc/page","1/8 A4, direct print, 1pc/page"
"1/8 A4, print on A4, 8pcs/page","1/8 A4, print on A4, 8pcs/page"
"105x35mm, print on A4, 16 pcs/page","105x35mm, print on A4, 16 pcs/page"
"1/16 A4, direct print, 1pc/page","1/16 A4, direct print, 1pc/page"
