"Weight rule is missing","Chýba váhové pravidlo"
"Pricing rule not found","Cenové pravidlo nebolo nájdené"
"Add pricing rule","Pridať cenové pravidlo"
"Price rule for specified country already exists","Cenové pravidlo pre tento štát alebo metódu dopravy už existuje"
"Saved","Uložené"
"Pricing rule","Cenové pravidlo"
"Pricing rule detail","Detail cenového pravidla"
"Pricing rules","Cenové pravidlá"
"A total of %1 record(s) have been deleted.","Celkom %1 záznamov bolo zmazaných."
"Detail","Detail"
"Price","Cena"
"Free shipment threshold","Minimálna hodnota objednávky pre dopravu zdarma"
"Country","Štát"
"General","Všeobecné"
"Any country?","Pre ostatné štáty?"
"Apply pricing settings to any destination country","Pravidlo sa bude vzťahovať k štátom, ktoré nemajú cenové pravidlo"
"Packeta","Packeta"
"Export","Export"
"Order number","Číslo objednávky"
"Full name","Meno a priezvisko"
"Recipient company","Spoločnosť príjemcu"
"Recipient Email","Email príjemcu"
"Recipient phone number","Telefón príjemcu"
"Recipient address","Adresa príjemcu"
"Cash on delivery","Dobierka"
"Currency","Mena"
"Total price","Celková suma"
"Pick up point or carrier","Odberné miesto alebo dopravca"
"Pickup point address","Adresa odber. miesta"
"Exported","Exportované"
"Export date","Dátum exportu"
"CSV - only not exported","CSV - Len neexportované"
"CSV - selected only","CSV - Vybrané záznamy"
"CSV - all records","CSV - Všetky záznamy"
"Order status","Stav objednávky"
"Yes","Áno"
"No","Nie"
"Orders","Objednávky"
"Add","Pridať"
"Weight to (includes)","Hmotnosť do (vrátane)"
"Price","Cena"
"Add rule","Pridať pravidlo"
"No changes can be made for this order.","Pre túto objednávku nie je možné vykonať žiadne zmeny."
"No orders to export.","Žiadne objednávky k exportu."
"Error! No export data found.","Chyba! Nenašli sa žiadne dáta pre export."
"Orders","Objednávky"
"There was an error during request.","Pri požiadavke došlo k chybe."
"API key","API kľúč"
"API password","API heslo"
"API password must be filled.","API heslo musí byť vždy vyplnené."
"The API password length must have %1 characters!","Dĺžka API hesla musí byť %1 znakov!"
"Sender","Odosielateľ"
"Sender must be filled.","Odosielateľ musí byť vždy vyplnený."
"Price rules","Cenové pravidlá"
"Global settings","Globálne nastavenie"
"Default price","Východzia cena"
"Max. weight","Maximálna váha"
"Free shipping","Doprava zdarma"
"Payment methods","Platobné metódy"
